seq,level,component,parent,part_number,qty,status,fastener,f.qty,loctite,torque
,L3,M5x10 Screw,CE BLDC Panel Assy,SCB5-10,8,NOT_STARTED,,,,
18,L2,CE Body Assembly,Compressor,NXMP-0700021-0-1,1,NOT_STARTED,,,,
19,L2,CE Water Tank Bracket,Compressor,NXMP-0700144-0-0,1,NOT_STARTED,CBSTBR4-8,4,,
20,L2,CE Cable Cover,Compressor,NXMP-0700148-0-0,1,NOT_STARTED,,,,
21,L2,CE Tank Shelf,Compressor,NXMA-0700012-0-0,1,NOT_STARTED,,,,
22,L2,CE Panel Mount W/ Connectors,Compressor,NXMA-0700019-0-0,1,NOT_STARTED,,,,
23,L2,Top Assy Misc Parts,Compressor,,1,NOT_STARTED,,,,
,L3,Safety Net Bracket Shaft,Top Assy Misc Parts,ETKGRS8-40-SC0,2,NOT_STARTED,,,,
,L3,Earth Bar,Top Assy Misc Parts,EBA-25-20E,1,NOT_STARTED,,,,
,L3,Cable Clamp 5-8mm,Top Assy Misc Parts,DKS-10GSP,1,NOT_STARTED,,,,
,L3,10mm Y Fitting,Top Assy Misc Parts,PY10,2,NOT_STARTED,,,,
,L3,Cable Clamp 9-14mm,Top Assy Misc Parts,DKS-16GSP,2,NOT_STARTED,,,,
,L3,25mm Rubber Grommet,Top Assy Misc Parts,C-30-SG-30B-EP-UL,3,NOT_STARTED,,,,
,L3,8mm Bulkhead,Top Assy Misc Parts,PM8,1,NOT_STARTED,,,,
,L3,8mm Silencer,Top Assy Misc Parts,AN15-C08,1,NOT_STARTED,,,,
,L3,9mm Rubber Bushing,Top Assy Misc Parts,C-30-SG-14A-EP-UL,2,NOT_STARTED,,,,
,L3,Cable Tie Anchor Mount,Top Assy Misc Parts,CTAM1-HS,3,NOT_STARTED,,,,
,L3,130C Zip Tie,Top Assy Misc Parts,T30R-HR,3,NOT_STARTED,,,,
,L3,Cable Clamp,Top Assy Misc Parts,LWS-2218Z,8,NOT_STARTED,,,,
24,L2,Top Assy Fasteners,Compressor,,1,NOT_STARTED,,,,
,L3,CBE6-10 M6x10,Top Assy Fasteners,CBE6-10,26,NOT_STARTED,,,,
,L3,CBE8-20 M8x20,Top Assy Fasteners,CBE8-20,4,NOT_STARTED,,,,
,L3,CBE5-10 M5x10,Top Assy Fasteners,CBE5-10,12,NOT_STARTED,,,,
,L3,CBE4-8 M4x8,Top Assy Fasteners,CBE4-8,20,NOT_STARTED,,,,
,L3,CBE6-15 M6x15,Top Assy Fasteners,CBE6-15,4,NOT_STARTED,,,,
,L3,CBE6-12 M6x12,Top Assy Fasteners,CBE6-12,2,NOT_STARTED,,,,
,L3,CBSTBR4-8 M4x8 Short,Top Assy Fasteners,CBSTBR4-8,4,NOT_STARTED,,,,
